posting_id,image,image_phash,title,label_group,hight,width,hamming_median_dist,post_per_group,target,fold,best25_mean_img,true_postings,pred_postings_img,f1_img,best25_mean_text,f1_text,pred_postings_text,joined_pred,f1_joined
train_1398921910,0082c9c530852846a5f970ca1b8dc334.jpg,9acce1334ced3a94,TAMBAHAN PACKING KARDUS/BUBBLEWRAP / Centralbandung,215542278,1024,1024,2.0,4,561,0,0.8729313015937805,train_3663748113 train_1398921910 train_2508338935 train_3329521695,train_3663748113 train_1398921910 train_2508338935 train_3329521695,1.0,0.6667923258800181,0.4,train_1398921910,train_1398921910 train_2508338935 train_3329521695 train_3663748113,1.0
train_3241824372,0087a5465491291911cdbb56debd5253.jpg,ebccb4921b68ec62,CHARGER XIAOMI ORIGINAL FAST CHARGING QC 3.0 5V 2.5A / 9V 2A,196929574,640,640,26.0,8,510,0,0.8860456347465515,train_3241824372 train_4062201157 train_1590935736 train_2664730436 train_822764169 train_1459737918 train_3415086514 train_79202464,train_3241824372 train_2664730436 train_822764169 train_1459737918 train_3415086514,0.7692307692307693,0.560403587980656,0.2222222222222222,train_3241824372,train_1459737918 train_2664730436 train_3241824372 train_3415086514 train_822764169,0.7692307692307693
train_1612784649,008b51588806c7649b8d9f359ecd352f.jpg,93986a4db4b6ca9a,Nova NS-216 Alat Cukur Janggut Shaver Hair Clipper Mesin Cukur Kumis Jenggot Cukuran cas,3580263851,748,748,31.0,5,9251,0,0.429206520318985,train_1612784649 train_4227549842 train_264392126 train_92819142 train_4103887113,train_1612784649,0.3333333333333333,0.7059419524276653,0.5714285714285714,train_1612784649 train_264392126,train_1612784649 train_264392126,0.5714285714285714
train_3884457980,0097a3d7a30fe0079d5f9181f710bd8e.jpg,b70cd8e281e1cbe3,CUKA APEL BRAGG [MURNI 100% 60 ML],3798328212,1024,1024,32.0,2,9794,0,0.47421959042549133,train_3884457980 train_2053875103,train_3884457980,0.6666666666666666,0.46019375686843994,1.0,train_3884457980 train_2053875103,train_2053875103 train_3884457980,1.0
train_2437872381,00a85688de263b6d315d11e1223e15aa.jpg,e39ac3999834c6ce,Erigo T-Shirt Quality Black,1230151539,1000,1000,22.0,2,3203,0,0.6640053391456604,train_2437872381 train_1042444098,train_2437872381 train_1042444098,1.0,0.5826718736589934,1.0,train_2437872381 train_1042444098,train_1042444098 train_2437872381,1.0
train_4227549842,00b84a9606509d5e0901bdb6e150fe69.jpg,fb18c3e3cc2bd064,Nova NS 216 Alat Mesin Cukur Rambut Multifungsi kumis jenggot dan rambut,3580263851,670,670,31.0,5,9251,0,0.5331953167915344,train_1612784649 train_4227549842 train_264392126 train_92819142 train_4103887113,train_4227549842 train_264392126 train_4103887113,0.75,0.718039754813292,0.5714285714285714,train_4227549842 train_264392126,train_264392126 train_4103887113 train_4227549842,0.75
train_2905859802,00bcc4e47b0469389105b7ffc143be52.jpg,e6a619994926e63d,Crystallure Supreme Revitalizing Oil Serum 30ml,1341974351,834,834,28.0,5,3466,0,0.6904672980308533,train_2905859802 train_3479963427 train_685026320 train_4151246143 train_2180170352,train_2905859802,0.3333333333333333,0.8341315720373302,1.0,train_2905859802 train_3479963427 train_685026320 train_4151246143 train_2180170352,train_2180170352 train_2905859802 train_3479963427 train_4151246143 train_685026320,1.0
train_1400779757,00bf22807120bb5d2ffd4c1306622c0c.jpg,deb99560f0c4a19e,[GARANSI 6 BULAN] ECLE Impor Termometer Infrared Alat Pengukur Suhu tubuh dahi CE,2410340130,800,800,32.0,3,6222,0,0.5744351148605347,train_1400779757 train_188166913 train_1781100133,train_1400779757 train_1781100133,0.8,0.4428972802155598,0.8,train_1400779757 train_1781100133,train_1400779757 train_1781100133,0.8
train_3249862091,00c22ed25816814caa9c434c92d81172.jpg,ba0f78d3bc90c790,Buku Metode Penelitian Kuantitatif Kualitatif dan R&D - Prof Sugiyono,2702435837,640,640,20.0,6,6951,0,0.830845832824707,train_3249862091 train_1217431872 train_3065536428 train_3935886516 train_1693047307 train_3886904302,train_3249862091 train_3935886516 train_3886904302,0.6666666666666666,0.9201818767427441,0.8,train_3249862091 train_931707478 train_1217431872 train_3639013819 train_3065536428 train_3935886516 train_315635215 train_1693047307 train_3886904302,train_1217431872 train_1693047307 train_3065536428 train_315635215 train_3249862091 train_3639013819 train_3886904302 train_3935886516 train_931707478,0.8
train_3879247647,00cefe6ea00dafa4e441757802c72636.jpg,fc8e8e9e87713061,(Bundling 2 Pcs) Acnol Lotion 10Ml Acne Lotion Obat Jerawat,1746655739,600,600,26.0,36,4472,0,0.7309595942497253,train_3879247647 train_3378866976 train_674056726 train_1457505137 train_2465941424 train_3582330494 train_1812730090 train_454941918 train_2629377165 train_1824895388 train_2019057454 train_1092917111 train_1550472148 train_4084959673 train_3188845840 train_3337799736 train_1597284852 train_2174196001 train_3674326263 train_1253139441 train_284502269 train_163760782 train_3587513406 train_1621436703 train_4094665188 train_3398839446 train_232453704 train_3748944324 train_2954306675 train_3407194355 train_2747781252 train_444954084 train_866258068 train_1698463128 train_290254101 train_2712719311,train_3879247647,0.05405405405405406,0.771375158732223,0.10526315789473684,train_3879247647 train_2954306675,train_2954306675 train_3879247647,0.10526315789473684
train_404207615,00ed730f2e7680a457fea19797b98492.jpg,ae2ed1d1d1d12ad8,Natur Hair Tonic Ginseng dan Aloe Vera 90ml,122550860,640,640,30.0,10,316,0,0.7914471626281738,train_404207615 train_3597470302 train_2823824337 train_1209485949 train_3990088467 train_3960172945 train_1831498823 train_2857221499 train_1165058967 train_530505223,train_404207615 train_1165058967,0.3333333333333333,0.8437683665216662,0.75,train_404207615 train_3597470302 train_3990088467 train_3960172945 train_1165058967 train_530505223,train_1165058967 train_3597470302 train_3960172945 train_3990088467 train_404207615 train_530505223,0.75
train_411236838,00edb8b9fa46905f03ecfa49d505f44f.jpg,aa1ec121c7f1bc66,COD Dot Buah Bayi Empeng Buah Gigitan Bayi / Dot Buah Silikon Untuk Bayi PB02,2649335607,659,659,30.0,2,6806,0,0.7992194294929504,train_411236838 train_3163122372,train_411236838,0.6666666666666666,0.5347114301347734,0.6666666666666666,train_411236838,train_411236838,0.6666666666666666
train_3542367375,0100b606b29c44d6f73f7febfade6c43.jpg,a446ce3e687323a7,BAJ JAM TANGAN APPLE WATCH IPHONE RUBBER IMPORT TOUCH SCREEN LED DIGITAL PRIA WANITA GROSIR,834544767,700,700,0.0,11,2166,0,0.9946703910827637,train_3542367375 train_3013366218 train_2412703382 train_25585690 train_3410942935 train_3639186599 train_1020246404 train_1929654926 train_1539721738 train_1351084608 train_3240183012,train_3542367375 train_3013366218 train_2412703382 train_25585690 train_3410942935 train_3639186599 train_1020246404 train_1929654926 train_1539721738 train_1351084608 train_3240183012,1.0,0.6729589419342892,0.16666666666666666,train_3542367375,train_1020246404 train_1351084608 train_1539721738 train_1929654926 train_2412703382 train_25585690 train_3013366218 train_3240183012 train_3410942935 train_3542367375 train_3639186599,1.0
train_1124779608,011686ea40c8ef90f354a6bd832aec32.jpg,e32699989c67b84b,Maybelline Fit Me! Liquid Concealer MakeUp - 10 Light (Dengan Coverage Tinggi & Hasil Natural),1594781567,640,640,28.0,2,4048,0,0.5833004117012024,train_1124779608 train_1623131595,train_1124779608 train_1623131595,1.0,0.527488683325474,0.6666666666666666,train_1124779608,train_1124779608 train_1623131595,1.0
train_1854838389,011ceca9fe5e67d3863df8c43c47bc64.jpg,9e9de062d7ac2495,STROLLER LABEILLE LIGHT,1262686857,700,700,0.0,2,3275,0,0.5705097317695618,train_1854838389 train_1124166247,train_1854838389 train_1124166247,1.0,0.45621073282687613,1.0,train_1854838389 train_1124166247,train_1124166247 train_1854838389,1.0
train_2408772693,011ddba96a571cde7c7d4392d11d50e3.jpg,eb5b62708fc3a0c6,Handuk Mandi Mutia 70x140 70 140 Tidak Bisa Pilih Warna Random,1245346479,700,700,0.0,2,3242,0,0.5789098143577576,train_2408772693 train_4291639514,train_2408772693 train_4291639514,1.0,0.555605764543139,0.6666666666666666,train_2408772693,train_2408772693 train_4291639514,1.0
train_2776660940,011e0d9393b1ff59e6420cdd956d8e92.jpg,8fca5ca743d16cc4,Bakso Sapi Super Special eSseM Food isi 50,1054236580,1024,1024,34.0,2,2754,0,0.4447547495365143,train_2776660940 train_855646448,train_2776660940,0.6666666666666666,0.49622044730072185,1.0,train_2776660940 train_855646448,train_2776660940 train_855646448,1.0
train_1133752994,01501fe1600ca36f25104f344e02714b.jpg,af8cc43a9ae0cb63,Wardah Acnederm Pore Blackhead Balm,2388758018,1024,1024,27.0,4,6154,0,0.7650015354156494,train_1133752994 train_2950528366 train_3859651678 train_3931407954,train_1133752994 train_3859651678 train_3931407954,0.8571428571428571,0.743789069788035,1.0,train_1133752994 train_2950528366 train_3859651678 train_3931407954,train_1133752994 train_2950528366 train_3859651678 train_3931407954,1.0
train_2502039152,0169e3b0d30c474c47e127aa77b82e1c.jpg,ed92c22d92683de6,BUKU AKTIVITAS MENULIS BALITA,3298480601,700,700,22.0,2,8507,0,0.5189084410667419,train_2502039152 train_1447299648,train_2502039152 train_1447299648,1.0,0.530518733849719,0.6666666666666666,train_2502039152,train_1447299648 train_2502039152,1.0
train_1289458574,016e4664a6a5a0fd95d725e853a504b0.jpg,eca1959a1ec169b5,Speaker Subwoofer Audio Tecnix SPK-S080 Subwoofer Speaker 2.1 Channel Design,1333574565,1024,1024,28.0,7,3439,0,0.8724725246429443,train_1289458574 train_274530042 train_1836502843 train_2446614659 train_3713070752 train_3884768201 train_3214050028,train_1289458574 train_2446614659 train_3214050028,0.6,0.8032604284232986,0.7272727272727273,train_1289458574 train_2446614659 train_3884768201 train_3214050028,train_1289458574 train_2446614659 train_3214050028 train_3884768201,0.7272727272727273
train_2129499368,0172c6253f99d89bfbc50c57e5a491f6.jpg,ace4ca6dcdc42dd0,HANASUI Serum Gold Jaya Mandiri,4007847318,640,640,24.0,2,10305,0,0.5933778285980225,train_2129499368 train_3594957739,train_2129499368 train_977743751 train_3594957739,0.8,0.7505550433344826,1.0,train_2129499368 train_3594957739,train_2129499368 train_3594957739 train_977743751,0.8
train_303300793,0174cc0f9dbf096873b3e103ae0576a8.jpg,ea859568947ac53d,Belfoods Uenaaak Nugget Ayam Stick 500gr,1634389569,403,403,22.0,2,4158,0,0.5499125123023987,train_303300793 train_1576267703,train_303300793 train_1576267703,1.0,0.5126678070801939,1.0,train_303300793 train_1576267703,train_1576267703 train_303300793,1.0
train_3730238611,018f61ad1c903355f68fc49855bf9490.jpg,82777288fe8826fa,hijab niqob wahyu by safira hijabnj,3768186621,640,640,30.0,18,9718,0,0.7651152610778809,train_3730238611 train_3972088306 train_2302471727 train_1951510014 train_3792816944 train_1724394898 train_1201541529 train_1839693367 train_3569100320 train_732582216 train_3355832936 train_3029410027 train_2594763545 train_829141579 train_495638834 train_975561537 train_1110783679 train_2422727042,train_3730238611,0.10526315789473684,0.526066097828244,0.2,train_3730238611 train_1951510014,train_1951510014 train_3730238611,0.2
train_1816968361,0197b998b0c6f28d544a786067d6c59d.jpg,f536d054cbc08d3d,3M VHB Double Tape Automotive 4900 tebal 1.1 mm size 24mm x 4.5m - 1 Pcs - Merah,2819310070,700,700,25.0,4,7255,0,0.7317022681236267,train_1816968361 train_2120597446 train_1831941588 train_3805508898,train_1816968361 train_2120597446 train_3805508898,0.8571428571428571,0.6184851631477879,0.8571428571428571,train_1816968361 train_2120597446 train_1831941588,train_1816968361 train_1831941588 train_2120597446 train_3805508898,1.0
train_2482849092,01a8af0a35eca54d534b4940f24b3360.jpg,f95ac0359fc618cc,ChinaTown - Timbangan Kopi Bumbu Dapur Emas Digital Kitchen Scale 1kg 0.1g i-2000 Coffee Teh Gold,3105568663,600,600,32.0,2,8013,0,0.6356047987937927,train_2482849092 train_570997086,train_2482849092 train_1598259684 train_2628812206,0.4,0.5660271541218429,0.5,train_2482849092 train_1598259684,train_1598259684 train_2482849092 train_2628812206,0.4
train_4279989230,01afa2a0d35bcf31b33803a51eb80e8b.jpg,96cb9ab0a960373e,Sandal (Sendal) Masjid Musholla Wudhu Wakaf Sedekah - Sandal Jepit SJW 10,1036330570,721,721,2.0,6,2709,0,0.9859251976013184,train_4279989230 train_2277711141 train_2828391981 train_3298624374 train_138511403 train_2091002355,train_4279989230 train_2277711141 train_2828391981 train_3298624374 train_138511403 train_2091002355,1.0,0.6728417664852677,0.5,train_4279989230 train_2277711141,train_138511403 train_2091002355 train_2277711141 train_2828391981 train_3298624374 train_4279989230,1.0
train_3040500929,01b85e3b84af1d7f843d1f920e56b87c.jpg,95b93e1638f043c7,Bubble Wrap ( Hanya tambahan packing),1699836001,640,640,2.0,6,4347,0,0.9946044087409973,train_3040500929 train_997009021 train_3056813730 train_1191262237 train_3833234445 train_3045608374,train_3040500929 train_997009021 train_3056813730 train_1191262237 train_3833234445 train_3045608374,1.0,0.8222814583174812,0.5,train_3040500929 train_1191262237 train_3833234445 train_1785845140 train_985681332 train_2407563077,train_1191262237 train_1785845140 train_2407563077 train_3040500929 train_3045608374 train_3056813730 train_3833234445 train_985681332 train_997009021,0.8
train_92575259,01baeb3ff5bf6bc7e578c05e126971cf.jpg,f8a542b544cf3c5a,Pokana Pants M32 / L28 / XL24 Reguler Surprise Design / Baby Happy Pants M34+4 / L30+4 / XL26+4,2105629721,500,500,31.0,4,5403,0,0.46800410747528076,train_92575259 train_993659034 train_2958757646 train_1815564834,train_92575259,0.4,0.6095679797029437,1.0,train_92575259 train_993659034 train_2958757646 train_1815564834,train_1815564834 train_2958757646 train_92575259 train_993659034,1.0
train_362460938,01cef15f9e73ee647ca4b6737e861279.jpg,bbc24ea639311c6d,REPACK ORI CAT FOOD ORICAT FOOD 1KG MAKANAN KUCING ORI CAT,1267979294,1024,1024,22.0,2,3286,0,0.5054786205291748,train_362460938 train_2192935894,train_362460938 train_2192935894,1.0,0.6486534414184763,0.6666666666666666,train_362460938,train_2192935894 train_362460938,1.0
train_4000911558,01dd0dba3310703f61d4376ff4e9e017.jpg,e5c79878c6189ae6,100% Cocoa Dark Chocolate Monggo 80g| Cokelat Hitam 100% Kakao| Coklat Diet | Cemilan Sehat | Keto,4070348305,500,500,10.0,4,10453,0,0.8052027821540833,train_4000911558 train_4231036206 train_3495901022 train_2763369083,train_4000911558 train_4231036206 train_3495901022 train_2763369083,1.0,0.6553771877639955,0.6666666666666666,train_4000911558 train_4231036206,train_2763369083 train_3495901022 train_4000911558 train_4231036206,1.0
train_4231036206,01dd0dba3310703f61d4376ff4e9e017.jpg,e5c79878c6189ae6,100% Cocoa Dark Chocolate Monggo 80g| Cokelat Hitam 100% Kakao| Coklat Makanan Diet Keto Indonesia,4070348305,500,500,10.0,4,10453,0,0.8052027821540833,train_4000911558 train_4231036206 train_3495901022 train_2763369083,train_4000911558 train_4231036206 train_3495901022 train_2763369083,1.0,0.6772801972499893,0.8571428571428571,train_4000911558 train_4231036206 train_3495901022,train_2763369083 train_3495901022 train_4000911558 train_4231036206,1.0
train_3495901022,01dd0dba3310703f61d4376ff4e9e017.jpg,e5c79878c6189ae6,100% Cocoa Dark Unsweetened Chocolate Monggo 80g| Cokelat Hitam 100% Kakao| Coklat Premium Indonesia,4070348305,500,500,10.0,4,10453,0,0.8052027821540833,train_4000911558 train_4231036206 train_3495901022 train_2763369083,train_4000911558 train_4231036206 train_3495901022 train_2763369083,1.0,0.6425588430617103,0.6666666666666666,train_4231036206 train_3495901022,train_2763369083 train_3495901022 train_4000911558 train_4231036206,1.0
train_2885845594,01e4c37a655015d9060ec293af5c77ed.jpg,c43b2bd41b33e4c5,LILIN LED / LILIN ELEKTRIK / CANDLE LED / LED CANDLE,1778408420,640,640,28.0,3,4551,0,0.6715869903564453,train_2885845594 train_3744795569 train_2879164756,train_2885845594,0.5,0.5663064222912011,0.8,train_2885845594 train_3744795569,train_2885845594 train_3744795569,0.8
train_621261825,01eaabf790816c075b4aa560b2d8faf0.jpg,eab16d99c4669293,HAPPY CALL GRILL Alat pemangang serbaguna,3893786536,640,640,8.0,8,10019,0,0.7457068562507629,train_621261825 train_4061914139 train_454415137 train_1534449335 train_3397507732 train_2335515391 train_1137267546 train_4022459025,train_621261825,0.2222222222222222,0.7962302214770965,0.5454545454545454,train_621261825 train_1534449335 train_2335515391,train_1534449335 train_2335515391 train_621261825,0.5454545454545454
train_3951567071,01f40752b0bfd610a5f2df27c31f4e10.jpg,bee9c3f8a217f400,Random - CP piyama doraemon starmoon - fit to L ld104 - Piyama Cp Wanita,1598377797,640,640,12.0,3,4059,0,0.6471529603004456,train_3951567071 train_2776897247 train_3758726710,train_3951567071 train_2776897247 train_3758726710,1.0,0.49340545237902306,0.8,train_3951567071 train_2776897247,train_2776897247 train_3758726710 train_3951567071,1.0
train_3432779569,01f7c8c015ef9999b3e0b137d81e3bba.jpg,93cce837ec2a94a5,Keju whincheez @250g,2175364535,640,640,24.0,2,5597,0,0.5400480628013611,train_3432779569 train_1689484882,train_3432779569 train_1689484882,1.0,0.4608147568772247,1.0,train_3432779569 train_1689484882,train_1689484882 train_3432779569,1.0
train_3647647135,02028b38792911a6084948d05155b7f6.jpg,eaaf85d094646a6b,Spidol Joyko CLP-04 Color Pen 12 Warna Washable Mudah di hapus,3395604817,930,930,28.0,17,8749,0,0.4902764856815338,train_3647647135 train_3165781068 train_434551552 train_2497217000 train_3524162314 train_2878851339 train_4210802774 train_1521507810 train_1258500296 train_3652910315 train_2020331195 train_2841906919 train_1811982877 train_1233840777 train_2664097238 train_1125823538 train_4272424667,train_3647647135,0.1111111111111111,0.8596001029595525,0.6923076923076923,train_3647647135 train_3165781068 train_2497217000 train_2878851339 train_1258500296 train_3652910315 train_2020331195 train_2841906919 train_2664097238,train_1258500296 train_2020331195 train_2497217000 train_2664097238 train_2841906919 train_2878851339 train_3165781068 train_3647647135 train_3652910315,0.6923076923076923
train_2509263829,020649a1ae344e55a90657a0356817ad.jpg,b138cfc7cc838699,Healthy Choice Beras Merah (1Kg),3827380463,720,720,30.0,3,9865,0,0.5823687314987183,train_2509263829 train_695052723 train_1743114312,train_2509263829 train_695052723 train_1743114312,1.0,0.5319494296791296,1.0,train_2509263829 train_695052723 train_1743114312,train_1743114312 train_2509263829 train_695052723,1.0
train_199884151,0209401f403fe90cdcbbe46f89ae7cf0.jpg,a29cbfe3c304817d,KERANJANG BAJU LAUNDRY LIPAT SERBAGUNA CANVAS LAUNDRY BAG,523074739,700,700,0.0,5,1339,0,0.9011942744255066,train_199884151 train_3859888400 train_1019963663 train_858363172 train_2744756938,train_199884151 train_3859888400 train_1019963663 train_858363172 train_2744756938,1.0,0.4862946036343217,0.2857142857142857,train_199884151 train_3870213490,train_1019963663 train_199884151 train_2744756938 train_3859888400 train_3870213490 train_858363172,0.9090909090909091
train_3417776213,021eadff1b126965b57f68f9bc8d5d84.jpg,bc87831cc790996f,Master rem supra   Supra X  Kharisma  Supra X 125 KET,1478312373,700,700,34.0,2,3776,0,0.588965654373169,train_3417776213 train_597254411,train_3417776213,0.6666666666666666,0.4829624361308544,1.0,train_3417776213 train_597254411,train_3417776213 train_597254411,1.0
train_3752166781,021f1065b0e71fa64dd990243d813797.jpg,c61affa5a970b8a0,Pot Bunga Gentong 20 Warna Putih,1961901267,640,640,26.0,2,5014,0,0.4807403087615967,train_3752166781 train_3166278692,train_3752166781,0.6666666666666666,0.48318714932521906,1.0,train_3752166781 train_3166278692,train_3166278692 train_3752166781,1.0
train_4000638715,02268606a157de0bc53261b05cbd24e8.jpg,bced06ba93831783,Celana Pendek Pria Sport Running / Training Bola Futsal,3490596311,1024,1024,24.0,2,9014,0,0.6579559445381165,train_4000638715 train_708601117,train_4000638715,0.6666666666666666,0.5241025330353907,1.0,train_4000638715 train_708601117,train_4000638715 train_708601117,1.0
train_3614220053,02285c083579daaae701eae395a34451.jpg,ea2e958597959315,POWER BANK ROBOT RT130 (10.000mAh) BLACK,2493236254,800,800,28.0,6,6419,0,0.7113952040672302,train_3614220053 train_1596018219 train_2187811725 train_635211124 train_3550756971 train_2773405758,train_3614220053 train_1596018219,0.5,0.6556184333455232,0.2857142857142857,train_3614220053,train_1596018219 train_3614220053,0.5
train_925544261,022d0f0e3629230be3fb5af47a88cb48.jpg,ada4c4781f93686e,TISU TEMPERED GLASS 2 IN 1 (isi 10),731330024,700,700,30.0,35,1884,0,0.9888764023780823,train_925544261 train_3855533455 train_1824818423 train_95201212 train_1475710807 train_1693277829 train_1088047343 train_3540380953 train_498188103 train_4273015959 train_1391899150 train_3394916135 train_1517747731 train_2996797715 train_441554325 train_1936892244 train_1345915637 train_911930079 train_645341534 train_1545529902 train_4093716985 train_1638292695 train_2390943309 train_1422170664 train_1607763504 train_3978968621 train_2360118667 train_2659050939 train_1713159801 train_2697736556 train_3772635453 train_2897218302 train_3739935491 train_3740184963 train_2610094005,train_925544261 train_1824818423 train_1088047343 train_498188103 train_4273015959 train_3394916135 train_1345915637 train_911930079 train_1545529902 train_4093716985 train_1638292695 train_2390943309 train_3978968621 train_2659050939 train_3772635453 train_3740184963,0.6274509803921569,0.6671931123555871,0.05555555555555555,train_925544261,train_1088047343 train_1345915637 train_1545529902 train_1638292695 train_1824818423 train_2390943309 train_2659050939 train_3394916135 train_3740184963 train_3772635453 train_3978968621 train_4093716985 train_4273015959 train_498188103 train_911930079 train_925544261,0.6274509803921569
train_3697728683,022f08b9f59000f83743d955ea75cd6a.jpg,eb8f973f49a062c0,11.11 SUPER BIGSALE \xe2\x80\x9cH-108\xe2\x80\x9d sepatu sneakers wanita/ sneakers putih/ sepatu putih wanita,1284560630,800,800,40.0,2,3323,0,0.43165358901023865,train_3697728683 train_284207796,train_3697728683,0.6666666666666666,0.5443272307638486,0.5,train_3697728683 train_2819377261,train_2819377261 train_3697728683,0.5
train_671452520,02348268c4d84261a3447fd60a2b2e71.jpg,a921d23e9f923c9c,Raket Badminton Bulutangkis Flypower Legend 09,2747810392,500,500,26.0,2,7053,0,0.45001673698425293,train_671452520 train_3397087335,train_671452520,0.6666666666666666,0.5270854464898399,1.0,train_671452520 train_3397087335,train_3397087335 train_671452520,1.0
train_552274453,0238a58b77a0b6141daf8ed3eed3f82b.jpg,e6319d4aa9edd610,\xf0\x9f\x87\xb2\xf0\x9f\x87\xa8MG\xf0\x9f\x87\xb2\xf0\x9f\x87\xa8 Jam Tangan  Fashion Wanita Rantai Strap Emas Silver Dial Logam Fashion JT12,3171928665,960,960,16.0,2,8191,0,0.5468370318412781,train_552274453 train_1622948922,train_552274453 train_1622948922,1.0,0.5827085280474518,0.5,train_552274453 train_2210142014,train_1622948922 train_2210142014 train_552274453,0.8
